,locus,annotation_name1,nfxB_P,nfxB_Q,nfxB_Difference,Welch's T-test Test statistic delta_nfxB_wt,change
1190,PA2118,O6-methylguanine-DNA methyltransferase,0.233348122,0.210285714,0.045662403,1.379766911,NOT
3292,PA5447,glycosyltransferase WbpZ,0.951247728,0.955070846,0.046034336,0.064928668,NOT
680,PA1141,probable transcriptional regulator,0.673344194,0.673155712,0.04605484,0.463585524,NOT
2181,PA3807,nucleoside diphosphate kinase,0.484503966,0.473436413,0.046397209,0.754577063,NOT
629,PA1074,branched-chain amino acid transport protein BraC,0.689574661,0.689974189,0.046453476,0.426753901,NOT
438,PA0759,conserved hypothetical protein,0.626624812,0.628827138,0.046904564,0.534706119,NOT
1856,PA3302,PhaJ1,0.809395709,0.812362791,0.047186375,0.258346568,NOT
1721,PA3104,secretion protein XcpP,0.595387261,0.594918681,0.04723978,0.571595869,NOT
995,PA1730,conserved hypothetical protein,0.884685529,0.885224647,0.048080921,0.156705684,NOT
1058,PA1821,probable enoyl-CoA hydratase/isomerase,0.648390109,0.64956466,0.048108578,0.486684397,NOT
2275,PA3944,conserved hypothetical protein,0.890894394,0.890596289,0.048258305,0.146728575,NOT
1629,PA2975,ribosomal large subunit pseudouridine synthase C,0.67254827,0.67258389,0.049710751,0.464872302,NOT
3222,PA5334,ribonuclease PH,0.296841361,0.275252727,0.049890518,1.203855212,NOT
2609,PA4459,Lipopolysaccharide export system protein LptC,0.44094799,0.427606531,0.050158978,0.825124255,NOT
259,PA0432,S-adenosyl-L-homocysteine hydrolase,0.538783406,0.533853695,0.050168514,0.651932531,NOT
1046,PA1804,DNA-binding protein HU,0.350075626,0.331618637,0.050393105,1.013408248,NOT
1836,PA3262,probable peptidyl-prolyl cis-trans isomerase,0.350658984,0.332031034,0.050600529,1.011901094,NOT
1770,PA3166,chorismate mutase,0.441462307,0.428111465,0.051026821,0.83347693,NOT
2822,PA4744,translation initiation factor IF-2,0.582798497,0.579799853,0.051546574,0.58061267,NOT
203,PA0357,formamidopyrimidine-DNA glycosylase,0.819933354,0.822191672,0.051751614,0.242533116,NOT
3006,PA5037,hypothetical protein,0.513673804,0.505737343,0.051874161,0.695733872,NOT
2048,PA3639,acetyl-coenzyme A carboxylase carboxyl transferase (alpha subunit),0.583695336,0.580825303,0.052368164,0.602634148,NOT
54,PA0077,IcmF1,0.59400832,0.593390029,0.052426815,0.576529022,NOT
2565,PA4408,cell division protein FtsA,0.675049443,0.675022129,0.052433968,0.441294258,NOT
2867,PA4808,L-seryl-tRNA(ser) selenium transferase,0.691355322,0.691171309,0.052814484,0.431751941,NOT
2507,PA4323,hypothetical protein,0.485627202,0.474227887,0.052886009,0.744207828,NOT
2204,PA3832,DNA polymerase III,0.576755662,0.575250648,0.05320549,0.608028209,NOT
1169,PA2069,probable carbamoyl transferase,0.913375595,0.912929613,0.053519249,0.11509595,NOT
2175,PA3801,conserved hypothetical protein,0.485529966,0.474208655,0.054257393,0.746872728,NOT
2559,PA4400,probable pyrophosphohydrolase,0.601564711,0.602194444,0.054362297,0.574312423,NOT
3095,PA5148,putative oxidative stress-related protein,0.733053179,0.733741692,0.05501318,0.361966803,NOT
2673,PA4545,competence protein ComL,0.034539071,0.028158371,0.055169106,3.49492777,NOT
2464,PA4261,50S ribosomal protein L23,0.563910233,0.56011016,0.055267334,0.610585389,NOT
2882,PA4842,hypothetical protein,0.407504606,0.393771757,0.055267811,0.921990702,NOT
3063,PA5110,fructose-1,0.520919981,0.513278178,0.055651188,0.690194213,NOT
1622,PA2968,malonyl-CoA-[acyl-carrier-protein] transacylase,0.443495156,0.429682288,0.055877209,0.874304408,NOT
1779,PA3179,conserved hypothetical protein,0.470889947,0.46011705,0.056437016,0.795014786,NOT
116,PA0174,conserved hypothetical protein,0.871518966,0.874336352,0.056528091,0.174842601,NOT
2451,PA4248,50S ribosomal protein L6,0.497008189,0.48758,0.057133198,0.763575979,NOT
1000,PA1737,probable 3-hydroxyacyl-CoA dehydrogenase,0.816113466,0.818619,0.057653904,0.249577028,NOT
1775,PA3171,3-demethylubiquinone-9 3-methyltransferase,0.35390943,0.335827957,0.057675838,1.032844783,NOT
2577,PA4423,conserved hypothetical protein,0.15367984,0.13025784,0.057748795,1.643292133,NOT
2496,PA4311,conserved hypothetical protein,0.859116529,0.863376099,0.057753086,0.192470451,NOT
27,PA0036,tryptophan synthase beta chain,0.846367521,0.849945062,0.058001995,0.208080881,NOT
344,PA0571,hypothetical protein,0.407863461,0.394166598,0.058012486,0.950235612,NOT
3077,PA5128,secretion protein SecB,0.606454214,0.608179562,0.058646202,0.571086914,NOT
2355,PA4067,Outer membrane protein OprG precursor,0.790918489,0.79447925,0.058718204,0.283390137,NOT
2383,PA4130,ferredoxin-dependent nitrite reductase,0.757311819,0.75985341,0.058738708,0.336650557,NOT
2468,PA4266,elongation factor G,0.493814471,0.484278998,0.059504509,0.754550644,NOT
2702,PA4583,conserved hypothetical protein,0.470248099,0.459870262,0.059737682,0.796520109,NOT
1908,PA3393,NosD protein,0.896403194,0.897090444,0.060326099,0.141017362,NOT
1623,PA2969,fatty acid biosynthesis protein PlsX,0.767091565,0.769620818,0.060422897,0.322213217,NOT
2690,PA4566,GTP-binding protein Obg,0.417306347,0.404477588,0.061321735,0.901527271,NOT
2888,PA4848,biotin carboxylase,0.084984246,0.069895052,0.061493874,2.129468636,NOT
2088,PA3689,probable transcriptional regulator,0.158582228,0.134431597,0.0615201,1.632118121,NOT
190,PA0335,hypothetical protein,0.274262501,0.251895229,0.061695099,1.28591559,NOT
840,PA1458,probable two-component sensor,0.380666536,0.361836257,0.06208849,0.951121031,NOT
831,PA1443,flagellar motor switch protein FliM,0.508259797,0.499983187,0.062414646,0.722573321,NOT
953,PA1643,conserved hypothetical protein,0.315841489,0.294286732,0.062551022,1.164737901,NOT
2224,PA3860,probable AMP-binding enzyme,0.554851632,0.550183041,0.062593937,0.653651115,NOT
1542,PA2832,thiopurine methyltransferase,0.894571803,0.894953964,0.063004017,0.14164919,NOT
91,PA0134,probable guanine deaminase,0.887445362,0.886964766,0.063146114,0.152174431,NOT
1734,PA3118,3-isopropylmalate dehydrogenase,0.387590413,0.369788861,0.063548088,0.948926065,NOT
2467,PA4264,30S ribosomal protein S10,0.231596208,0.208768,0.063651085,1.474797057,NOT
1245,PA2204,putative binding protein component of ABC transporter,0.586284078,0.584251471,0.063868046,0.606006096,NOT
1476,PA2729,hypothetical protein,0.62790443,0.629898378,0.064092159,0.510939786,NOT
1421,PA2625,conserved hypothetical protein,0.143825934,0.1215003,0.064115524,1.686987016,NOT
3362,PA5563,chromosome partitioning protein Soj,0.556625546,0.552120896,0.064406872,0.639837655,NOT
2795,PA4715,probable aminotransferase,0.668340789,0.668209933,0.064636707,0.458608113,NOT
3104,PA5164,dTDP-4-dehydrorhamnose 3,0.546670384,0.542066842,0.064985752,0.647762183,NOT
558,PA0960,hypothetical protein,0.725907033,0.726719835,0.065004349,0.368387121,NOT
2954,PA4959,FimX,0.646541546,0.648009986,0.065347672,0.486485456,NOT
2357,PA4069,hypothetical protein,0.68476797,0.684934266,0.065463543,0.432936821,NOT
1715,PA3095,general secretion pathway protein M,0.380124229,0.361578243,0.065542698,0.952572617,NOT
49,PA0071,TagR1,0.264813125,0.24194615,0.065555573,1.326839807,NOT
450,PA0773,pyridoxal phosphate biosynthetic protein PdxJ,0.255491967,0.231363289,0.065802574,1.257139379,NOT
2335,PA4042,exodeoxyribonuclease VII small subunit,0.571824182,0.569191994,0.066196442,0.599683056,NOT
2826,PA4748,triosephosphate isomerase,0.142084324,0.120520796,0.066231728,1.837520966,NOT
1627,PA2973,probable peptidase,0.327295854,0.306633245,0.066335678,1.09778279,NOT
1851,PA3295,probable HIT family protein,0.204973498,0.18001874,0.066353798,1.512952693,NOT
1391,PA2582,hypothetical protein,0.468373912,0.458039124,0.067834854,0.802792387,NOT
588,PA1010,dihydrodipicolinate synthase,0.281384419,0.259244548,0.067928791,1.218584516,NOT
705,PA1180,two-component sensor PhoQ,0.362427454,0.344052878,0.068025589,0.995225582,NOT
1817,PA3238,putative lipase,0.693225499,0.692899095,0.068215847,0.430370211,NOT
1688,PA3054,putative carboxypeptidase,0.61848592,0.620286957,0.068471432,0.550727954,NOT
1645,PA2997,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq3,0.476770297,0.465912165,0.068569183,0.760052306,NOT
2836,PA4760,DnaJ protein,0.470875174,0.460296643,0.068923473,0.769729086,NOT
2766,PA4673,conserved hypothetical protein,0.353036858,0.334633391,0.069488049,1.073515356,NOT
1483,PA2738,integration host factor,0.242557612,0.21989417,0.069763184,1.302063962,NOT
2832,PA4755,transcription elongation factor GreA,0.241968426,0.219193722,0.070420742,1.407862082,NOT
416,PA0714,hypothetical protein,0.581429589,0.578491344,0.070730686,0.582642959,NOT
1561,PA2867,probable chemotaxis transducer,0.352464018,0.333925097,0.07088232,1.030493145,NOT
1992,PA3560,phosphotransferase system transporter fructose-specific IIBC component,0.733742889,0.734319178,0.071005821,0.358089238,NOT
1250,PA2229,conserved hypothetical protein,0.391707721,0.374266556,0.071441174,0.965948697,NOT
180,PA0317,D-2-hydroxyglutarate dehydrogenase,0.737515436,0.737841313,0.071614742,0.367067898,NOT
2629,PA4484,Glu-tRNA(Gln) amidotransferase subunit B,0.310679858,0.289297539,0.071838856,1.127639685,NOT
1486,PA2741,50S ribosomal protein L20,0.390661761,0.373614268,0.07190752,0.979493168,NOT
3227,PA5339,conserved hypothetical protein,0.316885441,0.295562472,0.073340893,1.159519137,NOT
1811,PA3226,probable hydrolase,0.071462081,0.056859425,0.073377609,2.264967514,NOT
314,PA0527,transcriptional regulator Dnr,0.174436035,0.149561191,0.073750973,1.603236061,NOT
2099,PA3700,lysyl-tRNA synthetase,0.444190385,0.43000793,0.074978352,0.876811192,NOT
2227,PA3863,FAD-dependent catabolic D-arginine dehydrogenase,0.61361495,0.615460756,0.075093746,0.543941626,NOT
1013,PA1756,3'-phosphoadenosine-5'-phosphosulfate reductase,0.544211936,0.539403232,0.075329781,0.64549622,NOT
1822,PA3243,cell division inhibitor MinC,0.087855784,0.071817109,0.07591486,2.093495586,NOT
244,PA0413,component of chemotactic signal transduction system,0.494985589,0.485955316,0.076099873,0.736416908,NOT
618,PA1061,conserved hypothetical protein,0.541873617,0.536555305,0.076649666,0.656729076,NOT
2659,PA4519,ornithine decarboxylase,0.660482189,0.661375841,0.076724529,0.482491482,NOT
3160,PA5239,transcription termination factor Rho,0.315007682,0.293649576,0.076886654,1.101900462,NOT
2476,PA4274,50S ribosomal protein L11,0.157805047,0.133546758,0.076965809,1.641330451,NOT
2071,PA3666,tetrahydrodipicolinate succinylase,0.292791331,0.271102377,0.077307701,1.172579251,NOT
689,PA1158,probable two-component sensor,0.552899025,0.548302282,0.077647209,0.635083788,NOT
2728,PA4618,hypothetical protein,0.764116664,0.766932611,0.078050137,0.327398964,NOT
288,PA0487,probable molybdenum transport regulator,0.372553183,0.353842394,0.078357697,1.027508966,NOT
2470,PA4268,30S ribosomal protein S12,0.738059831,0.737983595,0.079674721,0.36063978,NOT
2934,PA4937,exoribonuclease RNase R,0.140826714,0.119893398,0.079993248,1.778235037,NOT
2958,PA4964,topoisomerase IV subunit A,0.206534099,0.181640333,0.080499649,1.424886027,NOT
2660,PA4520,probable chemotaxis transducer,0.384579425,0.366805,0.080637932,0.972994503,NOT
2049,PA3640,DNA polymerase III,0.685316431,0.685403705,0.080661297,0.425500662,NOT
1440,PA2652,methyl-accepting chemotaxis protein,0.244387957,0.221484597,0.080677509,1.394405184,NOT
2556,PA4396,two-component response regulator,0.55319527,0.548450262,0.08124733,0.645906393,NOT
355,PA0586,conserved hypothetical protein,0.766479652,0.768956051,0.081357956,0.3246532,NOT
812,PA1402,hypothetical protein,0.65704966,0.658303762,0.081517696,0.478994682,NOT
767,PA1305,hypothetical protein,0.47068057,0.460332813,0.081682205,0.775009702,NOT
2251,PA3908,immunity protein,0.515735679,0.507910232,0.081744194,0.691974224,NOT
2238,PA3883,probable short-chain dehydrogenase,0.34863452,0.33040968,0.082211494,1.088137746,NOT
1772,PA3168,DNA gyrase subunit A,0.42911955,0.417189363,0.082252502,0.8905828,NOT
920,PA1587,dihydrolipoamide dehydrogenase Lpd,0.181732966,0.156071661,0.082292557,1.571984394,NOT
945,PA1623,conserved hypothetical protein,0.360889804,0.342700855,0.082499981,1.011812236,NOT
1595,PA2931,CifR,0.478627604,0.467773292,0.082893372,0.778626697,NOT
1773,PA3169,5-methylthioribose-1-phosphate isomerase MtnA,0.658931154,0.660197163,0.083689213,0.465520622,NOT
350,PA0580,O-sialoglycoprotein endopeptidase,0.094587056,0.076984308,0.083690166,2.381457504,NOT
3128,PA5197,ribosomal protein S6 modification protein,0.391100323,0.373811852,0.083782196,0.930608211,NOT
3260,PA5396,amidohydrolase,0.689918522,0.690202232,0.084461212,0.418834559,NOT
2520,PA4348,conserved hypothetical protein,0.764594339,0.767360867,0.084720612,0.314240186,NOT
1398,PA2594,putative periplasmic aliphatic sulfonate binding protein,0.477630338,0.466659417,0.084840298,0.779859525,NOT
1518,PA2800,VacJ,0.253964394,0.2295,0.085006237,1.34086149,NOT
1713,PA3093,hypothetical protein,0.444992504,0.431462545,0.085014343,0.818928354,NOT
2833,PA4756,carbamoylphosphate synthetase large subunit,0.369934464,0.351374472,0.085391998,0.993859077,NOT
608,PA1041,probable outer membrane protein precursor,0.471598909,0.460821832,0.085638046,0.788305199,NOT
2887,PA4847,biotin carboxyl carrier protein (BCCP),0.343284575,0.325293351,0.085774899,1.033752921,NOT
2303,PA3988,LPS-assembly lipoprotein LptE,0.335331807,0.316550699,0.086857319,1.06687322,NOT
1344,PA2461,hypothetical protein,0.294387792,0.272916476,0.086907387,1.159801494,NOT
600,PA1031,conserved hypothetical protein,0.191170614,0.166183761,0.087219238,1.509903072,NOT
768,PA1307,conserved hypothetical protein,0.619429446,0.621085114,0.087629318,0.545105729,NOT
2092,PA3693,conserved hypothetical protein,0.282137755,0.260218924,0.087841988,1.237300925,NOT
917,PA1584,succinate dehydrogenase (B subunit),0.193726184,0.167991512,0.088215351,1.463565468,NOT
857,PA1483,cytochrome c-type biogenesis protein,0.177735484,0.152574561,0.088261127,1.569012034,NOT
643,PA1092,flagellin type B,0.126208714,0.106341587,0.088342667,1.78016941,NOT
1898,PA3363,aliphatic amidase regulator,0.76773936,0.770226275,0.088356018,0.319073519,NOT
3088,PA5140,imidazoleglycerol-phosphate synthase,0.568756717,0.565674833,0.088550091,0.604539434,NOT
837,PA1455,sigma factor FliA,0.528355757,0.521916793,0.088719368,0.669267837,NOT
709,PA1192,conserved hypothetical protein,0.168199444,0.143403352,0.088740349,1.577883469,NOT
2784,PA4700,penicillin-binding protein 1B,0.354432625,0.335993127,0.088761806,1.058669704,NOT
1197,PA2127,cupA gene regulator A,0.882686533,0.883005461,0.088783264,0.154006722,NOT
2234,PA3878,two-component sensor NarX,0.288264671,0.267300184,0.08889246,1.192437572,NOT
299,PA0507,probable acyl-CoA dehydrogenase,0.607007586,0.608107911,0.088974953,0.553374565,NOT
1533,PA2823,conserved hypothetical protein,0.402215343,0.387552079,0.089192867,0.964770363,NOT
1479,PA2732,hypothetical protein,0.636618175,0.640022989,0.089478493,0.518531136,NOT
2205,PA3833,hypothetical protein,0.514342634,0.506461187,0.089655876,0.693663095,NOT
1055,PA1816,DNA polymerase III,0.058233581,0.046528736,0.089864731,2.508815873,NOT
1567,PA2876,orotidine 5'-phosphate decarboxylase,0.294516809,0.272974453,0.089996338,1.164832507,NOT
1328,PA2417,probable transcriptional regulator,0.64579718,0.647410421,0.090226173,0.492118582,NOT
1303,PA2363,HsiJ3,0.239623159,0.216564683,0.090228558,1.321502385,NOT
1278,PA2289,conserved hypothetical protein,0.737669949,0.737708034,0.090605259,0.366294872,NOT
375,PA0607,ribulose-phosphate 3-epimerase,0.274135849,0.251840898,0.090705395,1.228405217,NOT
1686,PA3052,hypothetical protein,0.742338556,0.741927744,0.091022491,0.352377385,NOT
1902,PA3372,conserved hypothetical protein,0.935817385,0.93873472,0.091030598,0.084250873,NOT
3038,PA5073,hypothetical protein,0.832774332,0.837129691,0.091145992,0.221070287,NOT
2066,PA3658,protein-PII uridylyltransferase,0.892640762,0.892332587,0.091290951,0.140827708,NOT
3247,PA5366,ATP-binding component of ABC phosphate transporter,0.365870852,0.347171477,0.091519356,0.980684694,NOT
2478,PA4278,hypothetical protein,0.283447944,0.26175,0.0915308,1.238325135,NOT
2555,PA4395,conserved hypothetical protein,0.205366181,0.180330905,0.091565609,1.427379798,NOT
2535,PA4369,hypothetical protein,0.039800043,0.032400844,0.091629505,2.649295793,NOT
3155,PA5232,conserved hypothetical protein,0.028249501,0.02414628,0.091915131,3.285950724,NOT
2448,PA4245,50S ribosomal protein L30,0.606835057,0.608334185,0.092233658,0.548004194,NOT
2167,PA3790,Putative copper transport outer membrane porin OprC precursor,0.903435722,0.903078001,0.092436314,0.131231321,NOT
3070,PA5117,regulatory protein TypA,0.425215824,0.412928052,0.092772961,0.896537967,NOT
2463,PA4260,50S ribosomal protein L2,0.154515024,0.130794203,0.092911243,1.791986913,NOT
343,PA0569,hypothetical protein,0.902420624,0.90202293,0.093241692,0.129487947,NOT
1653,PA3007,repressor protein LexA,0.210296095,0.185780765,0.093398094,1.446125724,NOT
2304,PA3989,DNA polymerase III,0.61752203,0.618669083,0.09345293,0.541876411,NOT
3229,PA5343,hypothetical protein,0.203072599,0.177880878,0.093504429,1.571342793,NOT
2760,PA4667,LbcA,0.129119657,0.109001883,0.093663692,2.00549423,NOT
693,PA1162,succinyl-diaminopimelate desuccinylase,0.562801454,0.559176471,0.093755245,0.616417592,NOT
520,PA0899,N2-Succinylarginine dihydrolase,0.069478789,0.055504886,0.093758106,2.284393427,NOT
1977,PA3526,MotY,0.193991267,0.168335101,0.094360828,1.562453533,NOT
1994,PA3562,phosphotransferase system transporter enzyme I,0.425557108,0.413155089,0.094390869,0.879406013,NOT
2183,PA3809,ferredoxin [2Fe-2S],0.495081136,0.485962264,0.095012188,0.740718373,NOT
1911,PA3397,FprA,0.550927253,0.546094382,0.095219135,0.632017134,NOT
2455,PA4252,50S ribosomal protein L24,0.423514437,0.411700284,0.095384121,0.861057052,NOT
2569,PA4412,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,0.355880041,0.337009426,0.095407963,1.083495408,NOT
771,PA1311,2-phosphonoacetaldehyde hydrolase,0.928547408,0.930288419,0.095634937,0.095813473,NOT
1823,PA3244,cell division inhibitor MinD,0.043788099,0.035386774,0.095948696,2.977100427,NOT
2738,PA4632,putative Zn-dependent peptidase,0.443025701,0.429326977,0.096038342,0.832359523,NOT
1634,PA2980,conserved hypothetical protein,0.060467564,0.047806563,0.096148968,2.443846359,NOT
1999,PA3567,probable oxidoreductase,0.29716368,0.275562017,0.096264362,1.145198746,NOT
2620,PA4474,conserved hypothetical protein,0.272856453,0.250527895,0.096807957,1.221464622,NOT
3030,PA5064,hypothetical protein,0.324405735,0.303657546,0.09705162,1.12031409,NOT
57,PA0080,TssJ1,0.468837926,0.458398123,0.097597122,0.823312497,NOT
564,PA0966,Holliday junction DNA helicase RuvA,0.365986478,0.347129402,0.09764719,0.992319234,NOT
200,PA0354,conserved hypothetical protein,0.479128344,0.468304112,0.097794056,0.760641361,NOT
358,PA0590,bis(5'-nucleosyl)-tetraphosphatase,0.492341247,0.482567463,0.098031521,0.742341585,NOT
2137,PA3745,30S ribosomal protein S16,0.191370764,0.166172892,0.09839201,1.478392035,NOT
1798,PA3204,two-component response regulator CpxR,0.060549729,0.047851596,0.098944187,2.447093913,NOT
2844,PA4769,probable transcriptional regulator,0.690944937,0.690906304,0.099302769,0.431586752,NOT
1968,PA3496,hypothetical protein,0.452968171,0.439341473,0.099597931,0.834143378,NOT
1600,PA2942,probable magnesium chelatase,0.255942656,0.231633413,0.099873543,1.387292973,NOT
2868,PA4809,FdhE protein,0.062104689,0.049239389,0.099879265,2.731972434,NOT
2571,PA4416,UDP-N-acetylmuramoylalanyl-D-glutamyl-2,0.165601393,0.140766292,0.100928307,1.689369349,NOT
329,PA0546,methionine adenosyltransferase,0.419191909,0.406482927,0.102291107,0.876535687,NOT
1155,PA2025,glutathione reductase,0.455054022,0.441593394,0.102823257,0.799463304,NOT
459,PA0792,propionate catabolic protein PrpD,0.899257681,0.899059949,0.102862358,0.136773137,NOT
2435,PA4232,single-stranded DNA-binding protein,0.112654196,0.092548813,0.103348732,1.882633578,NOT
1451,PA2683,probable serine/threonine dehydratase,0.070010362,0.055554839,0.103372574,2.435997934,NOT
2763,PA4670,ribose-phosphate pyrophosphokinase,0.07591626,0.061743349,0.103769302,2.156528816,NOT
2570,PA4414,UDP-N-acetylmuramoylalanine--D-glutamate ligase,0.343556642,0.325295701,0.104102135,1.107962423,NOT
1074,PA1843,methionine synthase,0.431564893,0.419381526,0.104217052,0.901796613,NOT
2820,PA4742,tRNA pseudouridine 55 synthase,0.182210503,0.156515989,0.104340553,1.508783612,NOT
901,PA1562,aconitate hydratase 1,0.686133743,0.68574162,0.105165005,0.435721861,NOT
3124,PA5192,phosphoenolpyruvate carboxykinase,0.371218989,0.352481013,0.105801582,0.971411452,NOT
1400,PA2601,probable transcriptional regulator,0.423603074,0.411669636,0.106354237,0.910509313,NOT
2731,PA4621,probable oxidoreductase,0.434273957,0.421463571,0.106579781,0.852466715,NOT
2796,PA4717,conserved hypothetical protein,0.387131955,0.369487521,0.106897354,0.990003073,NOT
3107,PA5167,DctP,0.686220987,0.685626527,0.107206345,0.439171403,NOT
2112,PA3716,hypothetical protein,0.180618068,0.154811752,0.107215881,1.515532224,NOT
2173,PA3799,conserved hypothetical protein,0.002136873,0.004517857,0.107671261,5.828861823,NOT
284,PA0482,malate synthase G,0.110205544,0.090785047,0.107756615,1.916302602,NOT
2797,PA4718,hypothetical protein,0.67140566,0.671842254,0.10780859,0.457091824,NOT
783,PA1337,glutaminase-asparaginase,0.303566465,0.282023466,0.108500957,1.148354619,NOT
1606,PA2952,electron transfer flavoprotein beta-subunit,0.071563231,0.056854183,0.108825207,2.267378856,NOT
1801,PA3208,conserved hypothetical protein,0.379441639,0.361074602,0.108834267,1.013350229,NOT
431,PA0745,DspI,0.092452463,0.07488138,0.108887196,2.323742343,NOT
2054,PA3645,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,0.549599697,0.545136432,0.10891819,0.659598435,NOT
2624,PA4478,conserved hypothetical protein,0.781194518,0.784257978,0.108953476,0.292894828,NOT
2136,PA3744,16S rRNA processing protein,0.076666904,0.062730109,0.109612465,2.281347323,NOT
909,PA1574,conserved hypothetical protein,0.635281001,0.638362918,0.10962677,0.501285822,NOT
2203,PA3831,leucine aminopeptidase,0.046181676,0.037316406,0.110066891,2.551333715,NOT
1796,PA3202,conserved hypothetical protein,0.776261765,0.7798774,0.110440731,0.30113116,NOT
718,PA1203,hypothetical protein,0.058683805,0.046790123,0.110750198,2.385875558,NOT
3282,PA5435,probable transcarboxylase subunit,0.24003813,0.216990663,0.111003876,1.389988134,NOT
3158,PA5236,probable aromatic hydrocarbon reductase,0.321903029,0.30134101,0.111067295,1.164039033,NOT
2133,PA3740,hypothetical protein,0.452759249,0.439694006,0.112180233,0.826590786,NOT
952,PA1642,selenophosphate synthetase,0.326981895,0.306457067,0.112791538,1.144532327,NOT
3025,PA5056,poly(3-hydroxyalkanoic acid) synthase 1,0.100381243,0.082192388,0.114246368,2.212805052,NOT
1062,PA1828,probable short-chain dehydrogenase,0.258575536,0.234770109,0.114494324,1.285442802,NOT
521,PA0900,hypothetical protein,0.465635577,0.454818182,0.114514351,0.787669838,NOT
2040,PA3629,alcohol dehydrogenase class III,0.304288643,0.282485804,0.114543915,1.128302592,NOT
3054,PA5098,histidine ammonia-lyase,0.21963947,0.195542218,0.114768505,1.423569972,NOT
536,PA0932,cysteine synthase B,0.329680588,0.309307018,0.114840984,1.116199036,NOT
349,PA0579,30S ribosomal protein S21,0.308577557,0.287420108,0.114858627,1.127640458,NOT
2449,PA4246,30S ribosomal protein S5,0.031318344,0.025973589,0.115263462,2.832708883,NOT
1366,PA2544,hypothetical protein,0.422065164,0.410163216,0.115330696,0.908811218,NOT
860,PA1487,probable carbohydrate kinase,0.84443681,0.847967267,0.115411282,0.204922137,NOT
715,PA1200,conserved hypothetical protein,0.577983424,0.576311899,0.115564346,0.591317023,NOT
1738,PA3123,RidA subfamily protein,0.429226019,0.417184052,0.115581989,0.847908252,NOT
1364,PA2542,conserved hypothetical protein,0.090490373,0.073313953,0.115777493,2.165833591,NOT
238,PA0406,TonB3,0.331841843,0.311980719,0.11645174,1.088383219,NOT
3206,PA5308,leucine-responsive regulatory protein,0.40665965,0.392846343,0.116460323,0.923401311,NOT
1290,PA2320,transcriptional regulator GntR,0.120581727,0.100766559,0.116540432,1.901899149,NOT
593,PA1016,hypothetical protein,0.508889973,0.500174046,0.116639137,0.728336496,NOT
2778,PA4694,ketol-acid reductoisomerase,0.027634978,0.023382653,0.117393494,3.172325258,NOT
567,PA0969,TolQ protein,0.359168108,0.341292255,0.117395401,0.993335017,NOT
3116,PA5179,probable transcriptional regulator,0.189401626,0.164703485,0.118149281,1.686800365,NOT
3266,PA5411,GbcB,0.322190199,0.301774236,0.118336678,1.134244234,NOT
2111,PA3715,hypothetical protein,0.407495207,0.39393347,0.118354797,0.897777283,NOT
2968,PA4976,Arginine:Pyruvate Transaminas,0.875316406,0.876986778,0.11847496,0.164568379,NOT
1433,PA2640,NADH dehydrogenase I chain E,0.364791724,0.345801189,0.118798256,1.006163535,NOT
2682,PA4556,type 4 fimbrial biogenesis protein PilE,0.538619648,0.533827235,0.118834972,0.686619524,NOT
2930,PA4932,50S ribosomal protein L9,0.117310768,0.096880829,0.119324684,2.104748405,NOT
1496,PA2756,hypothetical protein,0.338865484,0.321153578,0.11935091,1.075086323,NOT
1781,PA3182,6-phosphogluconolactonase,0.223543676,0.199640222,0.119894505,1.467942887,NOT
85,PA0126,hypothetical protein,0.324699662,0.303991178,0.120014668,1.075545372,NOT
460,PA0793,hypothetical protein,0.059926362,0.047532062,0.120162487,2.319003652,NOT
2534,PA4368,hypothetical protein,0.253007134,0.228693564,0.120626926,1.283453422,NOT
1651,PA3005,beta-N-acetyl-D-glucosaminidase,0.200498426,0.175158005,0.121463299,1.524831312,NOT
3356,PA5555,ATP synthase gamma chain,0.372161416,0.353560523,0.121667862,0.999397341,NOT
2675,PA4547,two-component response regulator PilR,0.289964973,0.268254929,0.122220516,1.160571422,NOT
1431,PA2638,NADH dehydrogenase I chain B,0.058458767,0.046724382,0.122337818,2.716564511,NOT
1842,PA3271,probable two-component sensor,0.260406809,0.236902613,0.122916698,1.263555937,NOT
2563,PA4406,UDP-3-O-acyl-N-acetylglucosamine deacetylase,0.37827632,0.359890894,0.123043537,1.014601024,NOT
1173,PA2076,transcriptional regulator,0.885141807,0.885164849,0.123539448,0.15074101,NOT
1370,PA2551,probable transcriptional regulator,0.151870005,0.128121071,0.123786926,1.874774176,NOT
688,PA1157,probable two-component response regulator,0.212394955,0.187816967,0.123902321,1.420466278,NOT
2034,PA3623,conserved hypothetical protein,0.598469214,0.598745701,0.124778748,0.580480562,NOT
646,PA1095,hypothetical protein,0.060391281,0.047740484,0.124970436,2.46702965,NOT
3330,PA5503,probable ATP-binding component of ABC transporter,0.296452832,0.275083789,0.125003338,1.185228502,NOT
2744,PA4642,hypothetical protein,0.053704962,0.042894785,0.125159264,2.404124943,NOT
1568,PA2877,probable transcriptional regulator,0.417774344,0.404902648,0.125463009,0.928443192,NOT
